timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1481268172327164,6,9,1,8,10,1,0,4
1481268172327164,1,2,5,0,0,1,5,2
1481268172340161,-9,-8,-6,-11,-12,-7,-9,-5
1481268172340161,-7,-3,-8,-7,-5,-4,-8,-3
1481268172347162,5,4,0,-2,3,-1,3,3
1481268172347162,-3,-1,-8,-13,-13,-6,-4,-1
1481268172363168,-9,-7,-5,-5,-1,-3,-5,-8
1481268172363168,7,4,10,8,3,7,8,7
1481268172385164,4,4,4,-1,1,5,2,4
1481268172385164,-9,-6,-2,-6,-2,-3,-4,-4
1481268172416240,4,6,7,8,6,7,4,6
1481268172416240,9,5,6,3,3,8,6,10
1481268172432221,-11,-2,-6,-10,-15,-11,-9,-11
1481268172432221,-6,-4,-2,0,2,-2,-7,-4
1481268172433188,7,7,2,3,4,-1,6,6
1481268172433188,-1,-6,-8,-3,-2,0,-4,-5
1481268172434188,-7,-9,-7,-6,-8,-7,-13,-9
1481268172434188,4,7,5,5,6,11,4,7
1481268172438189,0,-2,2,-2,-2,-2,2,0
1481268172438189,-7,-7,-5,-8,-10,-7,-6,-2
1481268172448190,6,-1,5,-3,-1,5,2,3
1481268172448190,5,7,1,9,8,6,7,7
1481268172449189,-6,-7,-4,-1,-1,-3,-5,-5
1481268172449189,-1,-1,-1,3,6,2,-1,2
1481268172451189,3,11,6,9,8,3,6,8
1481268172451189,1,-3,-3,-5,-4,-2,-5,-2
1481268172459189,-4,-8,-7,-6,-6,-7,-4,-10
1481268172459189,5,5,3,-1,-4,1,0,1
1481268172468190,-3,1,-2,-7,-6,-1,0,-2
1481268172468190,-6,-2,-4,-6,-14,-6,-9,-10
1481268172483293,-4,2,-4,-1,-2,-1,-2,1
1481268172483293,8,5,6,2,5,2,2,4
1481268172489195,-5,-8,-3,4,1,-1,-4,0
1481268172489195,1,4,2,11,5,0,4,4
1481268172506206,4,1,6,3,4,4,4,7
1481268172506206,-4,3,-4,5,-1,-9,-5,-9
1481268172507771,-5,-3,-4,-3,-2,-7,3,-5
1481268172507771,6,1,1,-8,-3,-5,5,-7
1481268172519707,-6,-5,-8,-7,-13,-1,0,3
1481268172519707,-4,-7,-3,-5,-9,-1,-1,-8
1481268172528800,1,-1,-1,-4,-2,-1,1,-2
1481268172528800,1,0,-2,-2,-1,2,1,1
1481268172542795,2,2,1,3,9,-5,-4,-3
1481268172542795,4,5,6,8,2,10,1,3
1481268172549769,4,2,8,3,2,6,4,4
1481268172549769,-6,-5,0,-1,-6,-4,-5,-1
1481268172565811,-1,4,1,-2,-2,-4,-6,-4
1481268172565811,1,0,-5,-1,1,3,-1,3
1481268172567795,-1,-1,-7,-8,-8,-4,-4,0
1481268172567795,-6,-9,-8,-3,-7,-3,-4,-9
1481268172579796,2,3,4,2,3,5,3,1
1481268172579796,-4,-3,-4,-3,-3,0,1,1
1481268172588795,-1,-4,-6,2,0,-4,-5,-2
1481268172588795,5,5,5,4,3,6,5,2
1481268172603764,4,-2,6,-1,-5,4,1,3
1481268172603764,-4,-7,-3,-9,-2,-6,-1,-6
1481268172611304,1,2,0,3,3,2,0,-2
1481268172611304,2,6,5,1,4,2,2,6
1481268172625946,-3,-8,-3,-7,3,-8,-1,-2
1481268172625946,-4,-10,-1,-9,-7,-6,-4,-3
1481268172627853,3,7,5,6,2,7,4,5
1481268172627853,0,-2,-6,-3,-4,-5,-4,2
1481268172655854,-1,-5,-6,-11,-12,-8,-5,-11
1481268172655854,1,-4,4,0,8,3,8,3
1481268172657855,2,4,3,3,2,2,1,1
1481268172657855,-4,-12,-4,-9,-7,-9,-4,-7
1481268172671947,0,5,4,3,5,5,2,1
1481268172671947,7,6,6,7,8,7,8,6
1481268172673857,-2,0,1,4,-1,-2,-1,2
1481268172673857,-6,0,-9,-6,-2,-5,-7,-1
1481268172693859,6,3,6,5,9,5,5,9
1481268172693859,-2,-1,-5,-4,-1,-4,-1,-4
1481268172694906,-3,-9,-5,-8,-7,-12,-7,-7
1481268172694906,-5,-2,-3,-7,-11,-1,-1,1
1481268172699859,2,2,0,1,4,5,5,2
1481268172699859,-7,0,-5,-6,-10,-5,-10,-6
1481268172708867,4,0,-1,-2,3,3,3,0
1481268172708867,12,2,7,11,13,8,0,1
1481268172723386,4,4,-1,5,12,7,1,5
1481268172723386,-8,-2,-3,-3,-10,-6,-9,-3
1481268172729380,9,5,2,4,2,9,7,1
1481268172729380,-1,2,0,-2,7,4,3,4
1481268172746380,-7,-13,-10,-14,-16,-11,-7,-7
1481268172746380,-3,-5,-7,-9,-5,-3,-4,2
1481268172747376,3,-1,-1,1,0,4,1,5
1481268172747376,-4,-4,0,-2,-4,-5,-1,-3
1481268172759469,-1,-1,-6,0,-1,1,-4,-4
